name,refcount
libperl-critic-toomuchcode-perl,1
r-cran-ica,2
python3-ovsdbapp,46
golang-github-xeipuuv-gojsonreference-dev,27
python3-spectral,1
libsv1,2
kmflcomp,2
libjffi-java,29
libopendbx1-pgsql,1
diffpdf,2
gssproxy,1
r-cran-adegenet,4
librust-rpassword-dev,1
gobjc-11-multilib-s390x-linux-gnu,2
libnet-nslookup-perl,1
apt-src,1
gimp-help-ro,1
vboot-utils,2
golang-sslmate-src-go-pkcs12-dev,2
libdatetime-calendar-discordian-perl,1
eiskaltdcpp-daemon,1
libgpm-dev,1
games-sport,1
pssh,1
octave-image-acquisition,1
tryton-modules-account-fr,2
librecast-dev,1
librust-hyphenation-commons-0.7+default-dev,8
libntru-0.5-dev,1
libreoffice-l10n-bn,3
librust-starship-module-config-derive-dev,1
libghc-validity-containers-prof,1
libghc-lumberjack-prof,1
limesuite,1
libkgantt2,16
librust-hashbrown-0.12+raw-dev,1
dict-freedict-por-deu,1
python3-gsd,2
libsmart-comments-perl,1
zynaddsubfx,1
node-cpr,1
hstr,1
mopidy-somafm,1
metastudent,1
ruby-snowplow-tracker,1
libgcc-11-dev-mipsr6el-cross,25
golang-github-ianbruene-go-difflib-dev,1
ne-doc,1
mgitstatus,1
libkf5people-doc,1
python3-curtsies,2
aspell-lv,1
jupp,2
python3-antlr,2
guile-ssh,2
