name,refcount
lxtask-gtk3,1
mate-settings-daemon,2
liblzf,13
ttf-space-mono-nerd,1
poppler,274
python-oslo-utils,17
python-openpyxl,3
python-potr,1
json-glib-docs,1
aida-x-lv2,2
grafana-zabbix,1
tesseract-data-que,1
httpie,1
python-btrfs,2
haskell-crypto-token,5
element,1
backuppc,1
mp3info,1
medusa,1
python-adb-shell,2
perl-extutils-pkgconfig,3
python-mpi4py,4
cargo-bloat,1
colord-gtk,6
xkeycaps,1
python-saml,1
ttf-mplus-nerd,1
libbrotlidec.so,4255
cinnamon-control-center,2
freeipmi,3
haskell-regex-compat-tdfa,1
wasmtime,1
python-prance,1
docbook-sgml,1
enjarify,1
aspell-it,1
python-trio-websocket,2
stella,1
musescore,1
gucharmap,1
haskell-mono-traversable-instances,3
acpica,1
redshift,1
python-google-auth,19
opensc,3
haskell-hspec-meta,1
python-wilderness,1
words,1
lua51-testmore,1
clucene,245
libmenuw.so,13
haskell-hgmp,2
prometheus-bird-exporter,1
dexed-clap,2
iperf,1
vtr,1
perl-params-validationcompiler,17
opensnitch,1
chromium,2
hunspell-es_mx,1
python-threadpoolctl,3
nemo-python,5
mbelib,2
gnujump,1
qemu-ui-dbus,4
riscv64-elf-binutils,2
haskell-http-conduit,19
libgdiplus,19
evolution-bogofilter,1
zeroc-ice,3
libreoffice-still-mn,1
soil,1
perl-path-tiny,27
perl-gd,9
libguestfs.so,1
libgee-0.8.so,1
shared-color-targets,1
perl-io-html,77
python-click-log,4
angband,1
ldproxy,2
dpkg,2
amf-headers,1
kitinerary,5
sws,1
python-pydantic-core,22
libmpcdec,26
aspell-cs,1
texlive-langjapanese,1
python-aiosignal,17
lua-term,3
pmbootstrap,1
sentry-cli,1
at-spi2-atk,8
bluez-deprecated-tools,1
ttf-d2coding-nerd,1
gitlab,1
libscfg.so,1
urlscan,1
python-testrepository,1
dtools,1
perl-email-simple,8
openvr,2
haskell-tamarin-prover-sapic,3
python-pyacoustid,1
libcamera.so,145
perl-string-crc32,2
lua-vstruct,1
qt5-quick3d,1
mixxx,1
wallutils,1
suscan,2
tinysparql,1
clipgrab,1
haskell-heaps,3
black-hole-solver,4
glyr,1
filesystem,12796
python-django-q2,3
octave,1
ruby-sus,3
xorg-xvidtune,1
tree-sitter-lua,5
cppgir,1
leatherman_curl.so,3
hdr10plus-tool,1
gtk-doc,9
mythes-es,1
ijs,105
perl-pod-parser,7
scim-chewing,1
libxslt-docs,1
python-sword,1
gambas3-gb-opengl-glu,1
lua52-posix,1
libpsl,4268
lua-language-server,1
plymouth,3
mairix,1
python-multidict,22
analitza,4
httping,1
kcm-fcitx,1
libdvdread,625
kodi,23
nginx-mainline-src,1
guichan,1
python-faust-cchardet,3
lib32-cracklib,1
perl-json-webtoken,2
perl-file-find-rule,6
psalm,1
libwiretap.so,1
tellico,1
xfce4-appfinder,1
gxmessage,1
libkcddb5,5
lib32-libunistring,45
dtkwidget,43
cosign,1
haskell-chimera,3
mustache,1
perl-test-mockmodule,1
ruby-cucumber,1
libva-vdpau-driver,1
python-json-logger,21
nickle,1
python-auditwheel,1
java-runtime,64
lib32-libelf,25
fuse2,31
ruby-rubygems,2
glibmm-docs,1
intel-oneapi-tbb,26
python-zxcvbn,2
libreoffice-still-cy,1
